award_key,abbreviation,name,type,category
mcib,MCIB,Master Combat Infantryman Badge,badge,Combat Badge
mcmb,MCMB,Master Combat Medical Badge,badge,Combat Badge
mcab,MCAB,Master Combat Action Badge,badge,Combat Badge
cib,CIB,Combat Infantryman Badge,badge,Combat Badge
cmb,CMB,Combat Medical Badge,badge,Combat Badge
cab,CAB,Combat Action Badge,badge,Combat Badge
eib,EIB,Expert Infantryman Badge,badge,Special Skill Badge
efmb,EFMB,Expert Field Medical Badge,badge,Special Skill Badge
esb,ESB,Expert Soldier Badge,badge,Special Skill Badge
bpb,BPB,Basic Parachutist Badge,badge,Special Skill Badge
spb,SPB,Senior Parachutist Badge,badge,Special Skill Badge
mpb,MPB,Master Parachutist Badge,badge,Special Skill Badge
prb,PRB,Parachute Rigger Badge,badge,Special Skill Badge
bmffpb,BMFFPB,Basic Military Freefall Parachutist Badge,badge,Special Skill Badge
mffjmb,MFFJMB,Military Freefall Parachutist Jumpmaster Badge,badge,Special Skill Badge
bspb,BSPB,Basic Army Space Badge,badge,Special Skill Badge
sspb,SSPB,Senior Army Space Badge,badge,Special Skill Badge
mspb,MSPB,Master Army Space Badge,badge,Special Skill Badge
pfb,PFB,Pathfinder Badge,badge,Special Skill Badge
aab,AAB,Air Assault Badge,badge,Special Skill Badge
dtb,DTB,Driver and Technician Badge,badge,Special Skill Badge
amb,AMB,Army Mountaineering Badge,badge,Special Skill Badge
bamb,BAMB,Basic Army Mariner Badge,badge,Special Skill Badge
samb,SAMB,Senior Army Mariner Badge,badge,Special Skill Badge
mamb,MAMB,Master Army Mariner Badge,badge,Special Skill Badge
baab,BAAB,Basic Army Aviator Badge,badge,Aviation Badge
saab,SAAB,Senior Army Aviator Badge,badge,Aviation Badge
maab,MAAB,Master Army Aviator Badge,badge,Aviation Badge
bfsb,BFSB,Basic Flight Surgeon Badge,badge,Aviation Badge
sfsb,SFSB,Senior Flight Surgeon Badge,badge,Aviation Badge
mfsb,MFSB,Master Flight Surgeon Badge,badge,Aviation Badge
bavnb,BAVNB,Basic Aviation Badge,badge,Aviation Badge
savnb,SAVNB,Senior Aviation Badge,badge,Aviation Badge
mavnb,MAVNB,Master Aviation Badge,badge,Aviation Badge
beodb,BEODB,Basic Explosive Ordnance Disposal Badge,badge,Explosive Ordnance Disposal Badge
seodb,SEODB,Senior Explosive Ordnance Disposal Badge,badge,Explosive Ordnance Disposal Badge
meodb,MEODB,Master Explosive Ordnance Disposal Badge,badge,Explosive Ordnance Disposal Badge
mdb,MDB,Master Diver Badge,badge,Diver Badge
fcd,FCD,First-Class Diver Badge,badge,Diver Badge
sdb,SDB,Salvage Diver Badge,badge,Diver Badge
scd,SCD,Second-Class Diver Badge,badge,Diver Badge
sodb,SODB,Special Operations Diver Badge,badge,Diver Badge
sodsb,SODSB,Special Operations Diving Supervisor Badge,badge,Diver Badge
psb,PSB,Presidential Service Badge,badge,Identification Badge
vpsb,VPSB,Vice Presidential Service Badge,badge,Identification Badge
osdib,OSDIB,Office of the Secretary of Defense Identification Badge,badge,Identification Badge
jcsib,JCSIB,Joint Chiefs of Staff Identification Badge,badge,Identification Badge
asib,ASIB,Army Staff Identification Badge,badge,Identification Badge
gtusib,GTUSIB,"Guard, Tomb of the Unknown Soldier Identification Badge",badge,Identification Badge
mhib,MHIB,Military Horseman Identification Badge,badge,Identification Badge
dsib,DSIB,Drill Sergeant Identification Badge,badge,Identification Badge
barb,BARB,U.S. Army Basic Recruiter Badge,badge,Identification Badge
garb,GARB,U.S. Army Gold Recruiter Badge,badge,Identification Badge
marb,MARB,U.S. Army Master Recruiter Badge,badge,Identification Badge
mgib,MGIB,Master Gunner Identification Badge,badge,Identification Badge
ccb,CCB,Career Counselor Badge,badge,Identification Badge
barngrb,BARNGRB,Basic Army National Guard Recruiter Badge,badge,Identification Badge
sarngrb,SARNGRB,Senior Army National Guard Recruiter Badge,badge,Identification Badge
marngrb,MARNGRB,Master Army National Guard Recruiter Badge,badge,Identification Badge
ngbib,NGBIB,National Guard Bureau Identification Badge,badge,Identification Badge
igib,IGIB,Inspector General Identification Badge,badge,Identification Badge
emqb,EMQB,Expert Marksmanship Qualification Badge,badge,Marksmanship Badge
smqb,SMQB,Sharpshooter Marksmanship Qualification Badge,badge,Marksmanship Badge
mmqb,MMQB,Marksman Marksmanship Qualification Badge,badge,Marksmanship Badge
dmddb,DMDDB,Distinguished Marksmanship Designation Badge,badge,Marksmanship Badge
eicb,EICB,Excellence in Competition Badge,badge,Marksmanship Badge
da4980_1,DA4980-1,Medal of Honor Certificate,certificate,Decoration Certificate
