billet_key,display_name,category,unit_key,minimum_rank_key,command_precedence
tf20_co,COMMANDING OFFICER,command,tf20_hhc,col,9100
tf20_xo,EXECUTIVE OFFICER,command,tf20_hhc,maj,9090
tf20_ops,OPERATIONS OFFICER,command,tf20_hhc,cpt,9080
tf20_ncoic,NONCOMMISSIONED OFFICER IN CHARGE,command,tf20_hhc,sgm,9075
tf20_rangerA_co,COMMANDING OFFICER,command,tf20_ranger_a,cpt,7100
tf20_rangerA_xo,EXECUTIVE OFFICER,command,tf20_ranger_a,first_lieutenant,7090
tf20_rangerA_rto,RADIO TELEPHONE OPERATOR,support,tf20_ranger_a,spc,7010
tf20_rangerA_fo,FORWARD OBSERVER,support,tf20_ranger_a,spc,7010
tf20_rangerA_smed,SENIOR MEDIC,support,tf20_ranger_a,spc,7010
tf20_rangerA_jtac,JOINT TACTICAL AIR CONTROLLER,support,tf20_ranger_a,spc,7010
tf20_rangerA_cbrn,CBRN SPECIALIST,support,tf20_ranger_a,spc,7010
tf20_rangerA_uaso,UNMANNED AERIAL SYSTEMS OPERATOR,support,tf20_ranger_a,spc,7010
tf20_rangerA_1p_pl,PLATOON LEADER,leadership,tf20_ranger_a_1p,first_lieutenant,5070
tf20_rangerA_1p_fsg,FIRST SERGEANT,leadership,tf20_ranger_a_1p,first_sergeant,5068
tf20_rangerA_1p_ps,PLATOON SERGEANT,leadership,tf20_ranger_a_1p,sfc,5065
tf20_rangerA_1p_rto,RADIO TELEPHONE OPERATOR,support,tf20_ranger_a_1p,spc,5010
tf20_rangerA_1p_fo,FORWARD OBSERVER,support,tf20_ranger_a_1p,spc,5010
tf20_rangerA_1p_jtac,JOINT TACTICAL AIR CONTROLLER,support,tf20_ranger_a_1p,spc,5010
tf20_rangerA_1p_med,MEDIC,support,tf20_ranger_a_1p,spc,5010
tf20_rangerA_1p_cbrn,CBRN SPECIALIST,support,tf20_ranger_a_1p,spc,5010
tf20_rangerA_1p_uaso,UNMANNED AERIAL SYSTEMS OPERATOR,support,tf20_ranger_a_1p,spc,5010
tf20_rangerA_1p_1s_sl,SQUAD LEADER,leadership,tf20_ranger_a_1p_1s,ssg,3055
