identifier,name
rfr,RANGER FIRST RESPONDER
arfr,ADVANCED RANGER FIRST RESPONDER
mpch,MULTI PURPOSE CANINE HANDLER
pfc,PROLONGED FIELD CARE
jfo,JOINT FIRES OBSERVER
cbrn_defence,CBRN DEFENCE COURSE
recce_1,SCOUT / OBSERVER
recce_2,RECON TEAM LEADER
recce_3,RECON PLANNER
uas_1,LIGHT DRONE OPERATOR
uas_2,HEAVY DRONE OPERATOR
breach_1,MECHANICAL BREACHING
breach_2,BALLISTIC BREACHING
breach_3,EXPLOSIVE BREACHING
eod,EXPLOSIVE ORDNANCE DISPOSAL
stryker_driver,STRYKER DRIVER
stryker_gunner,STRYKER GUNNER
stryker_vehicle_commander,STRYKER VEHICLE COMMANDER
jm,JUMP MASTER
