unit_key,display_name,type,parent,unit_hierarchy_base
tf20_hhc,Task Force 20 HHC,Task Force,null,9000
tf20_ranger_a,"A Co, 1/75th Ranger Regiment",Company,tf20_hhc,7000
tf20_ranger_a_1p,"1st Plt, A Co, 1/75 Ranger Regiment",Platoon,tf20_ranger_a,5000
tf20_ranger_a_1p_1s,"1st Sqd, 1st Plt, A Co, 1/75 Ranger Regiment",Squad,tf20_ranger_a_1p,3000
tf20_ranger_a_1p_1s_at,"A, 1st Sqd, 1st Plt, A Co, 1/75 Ranger Regiment",Team,tf20_ranger_a_1p_1s,1000
tf20_ranger_a_1p_1s_bt,"B, 1st Sqd, 1st Plt, A Co, 1/75 Ranger Regiment",Team,tf20_ranger_a_1p_1s,1000
tf20_ranger_a_1p_2s,"2nd Sqd, 1st Plt, A Co, 1/75 Ranger Regiment",Squad,tf20_ranger_a_1p,3000
tf20_ranger_a_1p_2s_at,"A, 2nd Sqd, 1st Plt, A Co, 1/75 Ranger Regiment",Team,tf20_ranger_a_1p_2s,1000
tf20_ranger_a_1p_2s_bt,"B, 2nd Sqd, 1st Plt, A Co, 1/75 Ranger Regiment",Team,tf20_ranger_a_1p_2s,1000
tf20_sfod_1a,"1 Troop, A Squadron, 1st SFOD-Delta",Troop,tf20_hhc,7000
tf20_sfod_1a_a,"A Team, 1 Troop, A Squadron, 1st SFOD-Delta",Team,tf20_sfod_1a,5000
tf20_soar_b160,"B Co, 2/160th SOAR",Company,tf20_hhc,7000
tf20_soar_b161_1p,"1P, B Co, 2/160th SOAR",Platoon,tf20_soar_b160,5000
tf20_soar_b161_2p,"2P, B Co, 2/160th SOAR",Platoon,tf20_soar_b160,5000
tf20_1rrc,"TEAM 1, RRC, RSTB, 75th RR",Team,tf20_hhc,7000
